Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2019,1.12,-0.92,0.02,-2.06,-4014,-21174,-19732,1041723,160742
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2020,1.07,-0.95,0.22,-2.24,-4153,-23224,-22094,1171626,588695
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2021,1.12,-0.77,0.1,-1.99,-2532,-9868,-9626,773147,401161
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2022,0.78,-0.59,-0.11,-1.26,-1683,-9969,-9657,711979,550515
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2023,0.53,-0.57,-0.14,-0.96,-985,-6919,-6610,612526,559001
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2024,0.07,-0.58,-0.02,-0.63,-4717,-4717,-4520,714109,617063
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,1994,11.95,(2),,,,,,230826,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,1998,9.64,11.64,4.08,-2.08,,3573,5837,255963,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,1999,8.74,11.12,4.97,-2.59,,7707,17950,521298,83
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2000,8.81,10.5,4.36,-2.67,,3695,28601,794754,18
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2001,8.16,10.44,5.65,-3.37,,6348,18891,463317,312
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2002,13.56,10.81,0.7,-3.45,-1389,-21218,18391,492571,336
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2003,11.8,11.33,-0.09,-0.38,-214,-5688,18554,412240,130
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2004,12.77,11.15,-0.47,-1.15,,-4702,1903,269098,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2005,13.31,9.62,0.02,-3.71,-178,-12298,-8348,281956,89
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2006,12.5,8.46,-0.16,-3.88,-342,-13243,-12403,269753,164
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2007,10.07,9.22,0.13,-0.98,-211,-4205,-4736,271135,36
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2008,13.34,12.43,0.79,-1.7,-897,-1509,-776,133503,494
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2009,13.79,13.63,1.02,-1.18,-927,-291,513,148713,670
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2010,14.06,13.04,0.22,-1.24,-783,-1792,-1475,179973,1589
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Subsidized,2011,13.83,12.23,0.68,-2.28,-181,-970,-954,61482,420
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Conservation--Guaranteed,2013,-0.28,-1.1,0.04,-0.86,-*,-1,-1,75,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Conservation--Guaranteed,2015,-0.32,-1.14,,-0.82,-1,-12,-11,1355,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Conservation--Guaranteed,2016,-0.33,-1.11,,-0.78,-1,-12,-11,1399,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,1992,4.61,0.26,-3.38,-0.97,,-946252,-467843,10786334,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,1996,10.59,3.81,-10.56,3.78,-2377,-471215,-347347,5655548,17828
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,1997,10.23,2.24,-10.18,2.19,-4314,-572694,-380105,5162961,35172
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,1998,7.71,0.94,-7.73,0.96,,-575893,-465323,7317656,7991
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,1999,5.29,-0.53,-5.37,-0.45,,-364242,-292447,5473367,366
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2000,5.83,-1.74,,,,,,2767034,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2001,7.21,0.17,-7.06,0.02,,-489785,-375140,5516122,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2002,2.48,-1.01,,-3.49,-267,-232094,-192812,5489050,387
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2004,7.81,-0.34,-5.19,-2.96,-1575,-435965,-390892,5237208,2858
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2005,6.09,-0.61,-1.98,-4.72,1,-290692,-281618,4200758,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2006,5.05,-0.73,-2.13,-3.65,,-68443,-51712,1288058,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2007,4.48,-0.31,0.09,-4.88,-84,-104825,-86737,2856494,6071
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2008,2.39,2.8,0.1,0.31,-1094,49037,32821,5965609,71471
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2009,0.87,-0.08,0.1,-1.05,-516,-62295,-68338,9986342,30945
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2010,-1.21,2.69,0.35,3.55,4,241082,237238,5774223,96435
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2011,-0.86,-0.79,-0.42,0.49,-*,14926,14937,7968052,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2012,-0.69,-0.99,-0.01,-0.29,,-23629,-23629,7867257,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2013,-1.1,-1.24,-0.01,-0.13,-13,-115,176,6015286,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2014,-1.11,-1.27,,-0.16,-1,-5898,-5815,4068604,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2015,-0.69,-0.65,,0.04,-*,-1631,-1620,3644787,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2016,-0.46,-0.02,-0.02,0.46,41,15856,15419,4319823,11008
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2017,-0.24,-0.53,-0.02,-0.27,-*,-9489,-8980,3180391,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2018,-0.19,-0.5,-0.01,-0.3,-*,-15964,-15405,3913187,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2019,-0.22,-0.28,-0.01,-0.05,41,-56,-103,3887478,3953
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2020,-0.21,-0.45,-0.04,-0.2,,-7123,-7027,4291110,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2021,-0.24,-0.45,-0.01,-0.2,-2,-7351,-7336,4109206,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2022,-0.25,-0.46,,-0.22,-465,-12184,-11647,6566025,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2023,-0.26,-0.45,0.01,-0.2,-12357,-11449,-10401,5942620,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,GSM,2024,-0.24,-0.25,,-0.01,3437,3437,3264,4879471,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2000,0.53,2.62,-0.54,,,,,107545,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2001,0.26,2.89,-0.25,,,,,254130,6703
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2002,0.95,3.41,0.01,,,,,475318,909
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2003,-0.15,0.54,1.36,,,,,786657,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2004,14.24,3.88,-12.27,1.91,-958,-57382,-43848,1048400,33840
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Supplier Credit,2005,1.54,7.74,2.13,4.07,-3395,22120,52989,577928,31086
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1992,-0.19,-0.8,0.17,-0.78,,-129,-64,21251,56
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1993,-0.42,-0.79,-0.26,-0.11,,-339,-175,45691,328
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1995,4.94,(2),,,,,,43088,
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1996,4.76,-0.23,-2.92,-2.07,,-2698,-2176,36832,319
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1997,0.41,8.21,-1.02,8.82,,4872,3256,43111,1133
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1998,0.4,4,-1.01,4.61,,2477,2058,56536,3917
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,1999,-0.54,0.2,-0.1,0.84,,754,806,76665,3208
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2000,-0.54,1.14,-0.1,1.78,,1280,1302,71089,3842
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2001,-0.54,14.03,-0.28,14.85,215,16765,14278,103072,4276
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2002,-0.68,2.31,0.01,2.98,,2889,2728,91207,2322
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2003,-0.54,9.78,0.01,10.31,-108,16439,14000,142630,12437
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2004,-0.6,5.3,,5.9,,10319,8664,159360,6969
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2005,0.09,11.38,-0.01,11.3,19,18581,15326,150451,23629
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2006,0.36,4.24,0.02,3.86,462,5620,5051,141902,34891
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2007,3.66,7.9,0.48,3.76,185,6341,5412,148504,18343
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2008,3.68,2.18,0.58,-2.08,96,-4971,-3275,195245,45729
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2009,3.08,3.01,0.48,-0.55,74,-1528,-707,244844,55656
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2010,3.21,-0.87,0.14,-4.22,-702,-11212,-9051,221774,104033
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2011,3.95,0.46,0.5,-3.99,-24,-7644,-5812,176186,74820
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2012,4.73,2.1,0.23,-2.86,-8,-4899,-4264,170751,70464
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2013,6.75,6.7,0.14,-0.2,2931,333,-73,66887,36860
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2014,4.97,-0.29,-0.08,-5.18,-637,-4829,-4402,84645,26227
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2015,4.78,0.55,0.49,-4.72,-158,-4202,-3732,92767,77239
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2016,2.36,3.24,0.05,0.83,3801,1006,1014,117449,75855
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2017,2.24,0.61,0.1,-1.73,-452,-1958,-1602,102471,63748
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2018,3.27,1.21,0.23,-2.29,-321,-3273,-2845,140804,94520
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2019,2.89,1.56,,-1.33,-95,-1158,-1004,59848,50799
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2020,-0.51,-0.71,,-0.2,-79,-174,-157,78100,69325
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2021,-0.36,-1.84,,-1.48,-710,-2435,-2305,113145,104566
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2022,-0.29,-1.88,,-1.59,-2099,-2980,-2930,178087,174267
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2023,-0.66,-0.9,,-0.24,-322,-322,-306,133464,101187
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan Guarantees,2024,-0.86,-1.22,,-0.36,-22,-22,-21,6120,6120
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1992,1.13,0.53,0.01,-0.61,,-2078,-1105,200567,98
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1993,1.85,0.75,0.02,-1.12,,-7652,-5234,508495,159
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1994,1.68,1.36,-0.4,0.08,-1,-2724,-1871,706124,253
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1995,1.64,2.99,-0.01,1.36,-3,21377,13775,1007286,2102
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1996,0.2,2.95,0.01,2.74,1,59422,44587,1624552,5144
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1997,0.23,2.85,-0.01,2.63,46,63828,49743,1908242,10276
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1998,0.23,2.53,0.03,2.27,7,79460,61438,2699310,25372
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",1999,0.09,2.67,0.02,2.56,95,95064,72895,2861933,37081
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2000,0.61,3.4,0.01,2.78,63,76897,56473,2088684,27837
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2001,0.2,2.58,0.23,2.15,122,72871,52063,2303114,50508
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2002,1.28,2.54,0.21,1.05,34,40459,27533,2262447,69300
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2003,1.22,3.2,0.21,1.77,567,71537,54220,2805251,127432
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2004,1.32,4.07,0.05,2.7,314,109684,79077,3131137,171997
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2005,1.07,6,0.02,4.91,207,191468,142338,2976428,198556
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2006,1.16,7.77,-0.03,6.64,361,265366,193258,3012167,202084
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2007,1.21,10.33,0.1,9.02,1253,417314,319021,3600279,294598
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,"Guaranteed 502 Single Family Housing, Purchase",2008,1.2,9.87,0.29,8.38,2910,686920,575960,6789985,597238
