Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2019,-1.31,-3.35,-5.04,3,6352,-37295,-37759,1437097,1085726
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2020,-0.08,-9.53,-27.66,18.21,19783,-171271,-184627,2021961,1677551
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2021,-5.81,-6.87,-6.53,5.47,14361,-23268,-26685,2079409,1827641
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2022,-12.27,0.31,14.52,-1.94,-1190,221046,217787,1808083,1681793
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2023,-6.69,5.78,16.94,-4.47,268708,218036,209790,1776606,1707037
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2024,-0.75,1.29,,2.04,33309,33309,32025,1730892,1644707
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1992,15.71,7.84,-15.12,7.25,77,-59496,-45845,561497,244
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1993,12.75,7.37,-2.02,-3.36,108,-62157,-57015,538014,800
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1994,12.36,11.18,1.84,-3.02,-59,-22101,-71808,643367,728
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1995,12.63,15.27,0.39,2.25,-185,1315,2924,433220,457
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1996,12.98,11.17,-5.67,3.86,-324,-23919,30622,560669,1385
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1997,12.59,11.47,0.99,-2.11,-129,-18522,16783,510320,1587
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1998,6.57,10.11,12.4,-8.86,-395,8044,18321,553109,964
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,1999,6.83,8.8,11.61,-9.64,-313,-14684,61018,780474,2861
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2000,5.86,11.02,3.65,1.51,277,19590,-3830,662049,1893
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2001,9.02,7.6,-1.04,-0.38,341,-22800,-20634,685221,3202
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2002,8.93,5.73,-3.81,0.61,-229,-32766,-17329,662483,2913
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2003,17.25,3.15,-2.94,-11.16,25,-100920,-104711,685178,3321
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2004,14.42,3.36,-1.1,-9.96,-97,-69808,-61768,605320,3164
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2005,10.09,4.52,-0.18,-5.39,-638,-34398,-21314,551503,4267
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2006,9.95,5.46,0.88,-5.37,-212,-30890,-11573,625078,6647
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2007,11.69,5.27,-0.44,-5.98,103,-36591,-38592,582335,7572
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2008,12.69,5.33,-3.29,-4.07,524,-43932,-42085,609705,9484
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2009,11.79,3.82,-5.07,-2.9,967,-82581,-84298,1015068,30636
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2010,4.74,1.83,0.1,-3.01,370,-36362,-43489,1170870,30635
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2011,6.06,1.44,-4.36,-0.26,-1712,-47214,-57583,1004063,30646
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2012,5.63,1.53,-3.66,-0.44,-1774,-46477,-49990,1112615,37955
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2013,5.57,3.02,-2.69,0.14,-1691,-27635,-24066,1001547,41163
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2014,5.48,1.01,1.05,-5.53,-11043,-54348,-48687,1134141,60698
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2015,5.04,-0.24,-2.39,-2.89,-14092,-65410,-62306,1183708,98132
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2016,4.31,-0.48,-3.81,-0.98,-19936,-67772,-63092,1259756,117177
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2017,4.26,-0.09,-2.25,-2.1,-20733,-51551,-49390,1202782,117843
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2018,4.04,0.69,0.36,-3.71,-10516,-36345,-33298,1040169,133509
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2019,3.9,0.33,-0.49,-3.08,-12320,-41140,-39951,1057146,181004
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2020,3.77,0.19,-7.73,4.15,-16405,-25343,-35510,1160532,261728
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2021,2.37,1.97,-3.08,2.68,-11678,26628,23098,921753,232158
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2022,2.45,2.67,3.43,-3.21,-5262,-6261,-3232,786022,239709
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2023,1.44,1.93,6.05,-5.56,63376,-9464,-5836,829522,348483
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating,2024,1.69,-2.76,,-4.45,-60776,-60776,-58439,867915,807356
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1992,20.26,22,11.59,-9.85,-66,-4383,14278,73854,1
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1993,24.27,23.92,2.87,-3.22,-50,-5891,12750,57939,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1994,28,21.11,5.52,-12.41,-324,-10009,13999,144191,40
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1995,31.9,26.18,-0.59,-5.13,-188,-3853,1921,66875,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1996,29.34,24.72,-1.24,-3.38,-269,-6573,785,172884,87
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1997,30.41,24.96,-0.07,-5.38,-358,-9609,-4483,142781,445
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1998,24.03,18.57,10.61,-16.07,12,-7062,-2273,95639,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,1999,23.6,25.19,11.83,-10.24,-3658,13754,6653,308461,1180
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2000,15.53,21.63,5.08,1.02,11,14358,-5703,149299,54
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2001,24.53,17.54,-3.8,-3.19,-161,-4066,-4743,89270,90
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2002,13.45,13.01,-4.52,4.08,-207,679,-2461,57800,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2003,20.39,4.63,-9.42,-6.34,-271,-9637,-31741,94815,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2004,13.83,5.49,-1.02,-7.32,-249,-2202,-3404,29743,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2005,12.94,11.92,-1.88,0.86,-99,374,126,23050,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2006,10.94,11.27,0.3,0.03,169,153,1588,51051,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2007,11.77,7.93,-1.69,-2.15,-382,-3112,-2674,73870,196
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2008,11.15,6.52,-6.16,1.53,-415,-2568,-1093,44694,244
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2009,14.22,3.33,-8.54,-2.35,-394,-4105,-2075,29656,35
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2010,3.69,4.46,1.96,-1.19,-574,-274,1648,35338,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2011,10.49,2.93,-6.1,-1.46,-798,-2869,-1496,31943,6
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2012,5.01,-2.99,-7.36,-0.64,-959,-3031,-2888,30449,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2013,5.62,1.14,-5.31,0.83,-835,-1855,-1613,32768,87
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2014,4.9,3.64,2.25,-3.51,-741,-532,-360,18049,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2015,2.47,-4.79,-5.18,-2.08,-816,-1343,-1139,13218,28
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2016,3.64,-3.86,-5.39,-2.11,-2461,-4783,-4369,41970,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2017,5.59,-3.71,-3.9,-5.4,-897,-1982,-1783,14740,376
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2018,4.92,-3.18,0.11,-8.21,-834,-1486,-1317,12569,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2019,4.16,-2.89,-1.18,-5.87,-844,-1477,-1336,12859,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2020,5.37,-4.42,-12.59,2.8,-229,-469,-454,2455,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2021,0.55,-2.96,-4.75,1.24,-88,-113,-108,754,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2022,0.71,-1.26,6.15,-8.12,-151,-336,-316,2056,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2023,6.13,-2.29,,-8.42,-267,-650,-624,2952,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Emergency Disaster,2024,9.31,3.31,2.09,-8.09,-797,-797,-764,7515,3925
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Indian Tribe Land Acquisition,2000,2,12.56,14.15,-3.59,-*,60,19,822,86
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Indian Tribe Land Acquisition,2001,16.11,-0.16,-3.12,-13.15,24,-46,-196,590,473
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Indian Tribe Land Acquisition,2004,-0.78,-0.27,-0.82,1.33,-*,6,-78,1586,542
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Seed Loans to Producers,2001,10.96,11.34,-1.66,2.04,,-1060,-1056,27318,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Soil and Water,1992,8.11,11.41,-2.68,5.98,-*,683,310,2257,5
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Soil and Water,1993,16.32,13.47,-9.3,6.45,-9,335,272,2052,18
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Soil and Water,1994,14.06,12.89,3.72,-4.89,-28,231,-293,3141,59
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Credit Sales of Acquired Property,1992,29.76,5.94,-27.36,3.54,46,-5026,-4753,27821,404
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Credit Sales of Acquired Property,1993,21.67,1.92,-4.34,-15.41,-28,-11697,487,53730,1203
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Credit Sales of Acquired Property,1994,15.02,6.1,1.73,-10.65,-118,-6507,-3253,66315,1125
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Credit Sales of Acquired Property,1997,18.06,7.12,5.37,-16.31,-2,-1525,-2531,13399,519
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Credit Sales of Acquired Property,1998,13.02,-0.86,2.13,-16.01,-1,-1630,-1572,10048,271
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Conservation--Direct,2010,2.31,-7.53,1.41,-11.25,5,-448,-400,4153,309
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Conservation--Direct,2011,2.99,-9.44,-8.75,-3.68,6,-1401,-1332,10484,818
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--ARRA,2009,11.79,3.99,-5.07,-2.73,81,-12971,-13815,163140,4483
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--ARRA,2010,4.74,0.91,0.1,-3.93,22,-887,-990,21163,1057
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2003,1.28,-1.2,-6.37,3.89,-*,-2112,-1276,58557,
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2005,-1.43,0.86,1.24,1.05,-7,-75,6923,64987,
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2007,0.38,-3.38,-4.02,0.26,-*,-5738,-5460,140291,
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2009,6.25,-2.82,-7.18,-1.89,,-15520,-18120,176277,3
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2010,-1.01,-5.46,-1.51,-2.94,70,-14456,-16317,286732,61
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2011,-2.01,-6.98,-9.76,4.79,-580,-11394,-12561,218060,323
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2012,-2.3,-2.55,-5.7,5.45,3,-544,-864,181452,1891
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2013,-2.46,-0.83,-2.58,4.21,318,2889,3245,191131,5643
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2014,-2.52,-3.34,1.35,-2.17,293,-1255,-1096,135746,6354
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2015,-3,-2.7,-3.28,3.59,126,1530,506,169841,14890
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2016,-1.64,-0.24,-3.5,4.9,545,6757,2045,151297,19248
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2017,-1.3,-2.02,-1.55,0.83,251,-2780,-1465,208826,42892
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2018,-1.27,-4.13,-0.07,-2.79,2282,-6832,-6297,233358,77685
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2019,-0.52,-8.16,-5.84,-1.8,1857,-17123,-16804,223262,105737
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2020,-0.23,-0.48,-12.24,11.99,-200,5,-963,325582,191759
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2021,-0.85,2.74,0.11,3.48,-1344,14887,14186,405388,291050
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2022,-1.45,5.64,11.31,-4.22,434,22873,21616,315866,272495
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2023,-1.31,2.45,9.86,-6.1,16160,11137,10986,310588,290040
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Farm Storage Facility Loans,2024,0.05,-2.37,,-2.42,-1351,-1351,-1302,73134,73078
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Sugar Storage Facility Loans,2013,-3.3,-1.82,-4.64,6.12,17,77,56,3900,1465
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans,Sugar Storage Facility Loans,2021,-2.05,16.82,-0.15,19.02,-81,3923,3506,20419,19161
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1992,10.6,11.5,3.12,-2.22,20,1873,161,81704,646
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1993,8.14,13.08,6.84,-1.9,10,6469,3461,92568,521
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1994,12.57,16.88,4.43,-0.12,355,10077,4731,152543,4480
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1995,12.14,13.58,3.35,-1.91,90,2764,1056,161053,3355
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1996,16.8,11.72,-2.62,-2.46,663,-9400,-9829,180711,6336
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1997,8.73,11.81,3.47,-0.39,1482,7129,3089,121345,7675
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1998,8.38,15.11,4.22,2.51,759,19223,10484,177941,17250
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,1999,13.74,12.87,-0.75,-0.12,674,3140,-1898,142758,14733
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2000,6.06,11.71,1.58,4.07,975,19735,8248,167151,14413
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2001,11.69,7.25,-7.77,3.33,1400,1603,-12313,270685,49172
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2002,5.43,7.26,-2.67,4.5,6603,19369,4845,345374,73457
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2003,6.24,8.54,-3.6,5.9,1213,15213,4371,232047,55802
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2004,-0.71,8.59,2.77,6.53,367,58074,35535,435107,90567
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2005,4.05,7.62,0.09,3.48,5352,34258,18945,631640,204511
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2006,3.35,4.72,-3.05,4.42,3134,8287,3937,340847,119462
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2007,6.41,2.59,-8.9,5.08,1873,-8076,-10999,305372,106643
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2008,5.55,-2.36,-12.02,4.11,1239,-19025,-21806,300734,121771
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2009,5.72,1.79,-8.5,4.57,2772,-3385,-16169,443909,153811
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2010,1.31,-5.51,-6.11,-0.71,7072,-102199,-98538,1569343,904494
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2011,1.33,-7.46,-12.05,3.26,55,-17745,-26739,310638,161172
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2012,-3.03,-5.51,-0.31,-2.17,3579,-10730,-28862,1101839,701021
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2013,-2.08,-2.55,-0.06,-0.41,4995,6694,-8015,1148306,820191
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2014,-13.21,-6.36,6.84,,-470,47953,42388,647999,526654
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2015,-12.41,-2.21,10.25,-0.05,7405,175808,145034,1542808,1202189
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2016,-8.04,2.1,9.75,0.39,8311,178083,160127,1677326,1423472
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2017,-2.56,-0.62,3.26,-1.32,-1029,56087,40248,2258535,1970182
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2018,-8.1,-1.35,,6.75,4587,121437,108024,1254104,1103334
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2019,-7.61,2.02,5.2,4.43,-142,61226,55768,596204,525350
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2020,-4.96,13.72,,18.68,49682,215305,194511,1002735,940315
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2021,-6.56,12.2,,18.76,86124,144438,133069,624824,601583
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2022,-5.81,1.73,,7.54,24920,26550,25586,335996,329437
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2023,-7.46,-7.95,,-0.49,-443,-488,-341,77700,75322
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loans,2024,-0.5,5.21,,5.71,377,377,363,6472,6423
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Relending,2016,-1.79,14.68,,16.47,4081,47746,39926,121872,94754
Department of Agriculture,Rural Housing Service,Rural Community Facilities,Community Facility Loan-by-Loan,2021,7.19,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1992,22.64,19.17,-0.48,-2.99,5990,-130308,-51838,1238296,25667
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1993,18.75,14.94,5.12,-8.93,-391,-91814,-54518,1269332,36958
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1994,20.1,18.85,2.62,-3.87,-2202,-60499,-31046,1636599,66583
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1995,24.36,20.68,-0.47,-3.21,38238,-25058,-41231,919860,51470
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Single Family Housing,1996,14.3,17.46,2.14,1.02,29162,47201,25476,993988,69394
